classe_num,avgNote_w24,ndevoir_w24,log_w24,logMonday_w24,logSunday_w24,logWed_w24,logThursday_w24,DiffDaysWeek,log_resource,log_core,logviewed_w24,logviewedCore_w24,logviewedResource_w24,logViewedTargetCourse_w24,logViewedTargetCourseModule_w24,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,17.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,10,1,688,40,32,0,16,1,176,512,688,512,176,512,176,0,1,3,0,0
1,16.3333,3,344,0,0,0,80,0,112,232,344,232,112,232,112,0,0,5,0,0
1,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,11.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,19,3,408,0,144,48,0,0,144,264,408,264,144,264,144,0,0,6,0,0
1,16,2,176,64,0,16,0,0,56,120,176,120,56,120,56,0,0,4,0,0
1,16.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,17.6667,3,8,0,0,8,0,0,0,8,8,8,0,8,0,0,0,5,1,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,19,3,64,0,0,8,56,0,8,56,64,56,8,56,8,1,0,5,0,0
-1,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
-1,9.66667,3,512,48,48,104,64,0,208,304,512,304,208,304,208,0,0,6,0,0
1,12,1,600,160,64,56,104,0,216,384,600,384,216,384,216,0,0,2,0,0
1,17,2,232,128,0,40,0,0,96,136,232,136,96,136,96,0,0,3,0,0
1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
0,11,4,368,40,0,88,16,0,56,312,368,312,56,312,56,0,0,6,0,0
1,19.6667,3,24,8,0,0,0,1,0,24,24,24,0,24,0,0,1,6,1,0
1,18.5,2,352,40,0,88,16,1,104,248,352,248,104,248,104,1,1,4,0,0
1,19,3,1560,680,32,528,144,1,520,1040,1560,1040,520,1040,520,0,1,4,0,0
1,17.3333,3,192,0,0,0,192,0,104,88,192,88,104,88,104,0,0,6,0,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16,4,152,24,0,64,0,0,8,144,152,144,8,144,8,0,0,5,1,0
0,9.5,4,200,152,0,0,48,0,56,144,200,144,56,144,56,1,0,6,1,0
1,15,2,184,0,0,72,104,0,80,104,184,104,80,104,80,0,0,2,1,1
1,15.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18.5,2,16,0,0,0,0,0,0,16,16,16,0,16,0,0,0,3,0,0
1,15.25,4,120,0,0,0,64,0,24,96,120,96,24,96,24,1,0,6,0,0
0,13,4,632,72,40,128,0,0,216,416,632,416,216,416,216,1,0,6,0,1
0,11.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,6.33333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.25,4,136,0,0,72,0,0,40,96,136,96,40,96,40,0,0,6,0,0
1,17,4,336,128,0,64,40,0,88,248,336,248,88,248,88,0,0,6,1,0
1,13.6667,3,776,128,0,368,184,0,480,296,776,296,480,296,480,0,0,4,0,0
-1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
1,17.5,2,368,232,0,0,0,0,88,280,368,280,88,280,88,0,0,3,0,0
1,15.75,4,360,112,64,64,0,0,112,248,360,248,112,248,112,0,0,5,0,0
1,17,3,2000,168,32,720,440,1,576,1424,2000,1424,576,1424,576,0,1,6,0,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
