classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17.1667,6,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,0,0
1,16.25,4,32,0,0,32,0,0,0,32,32,32,0,32,0,1,0,4,0,0
1,16.8,5,1744,256,0,160,960,1,568,1176,1744,1176,568,1176,568,0,1,6,0,0
1,17.8333,6,1264,48,312,0,0,1,504,760,1264,760,504,760,504,1,1,6,0,0
0,11.4,5,680,320,0,192,128,0,280,400,680,400,280,400,280,0,0,6,0,0
1,18.25,4,1264,320,0,176,488,0,544,720,1264,720,544,720,544,0,0,5,0,0
1,15,4,192,8,0,72,0,0,32,160,192,160,32,160,32,1,0,4,0,0
1,17.2,5,896,96,0,360,192,0,200,696,896,696,200,696,200,0,0,5,0,0
1,17.75,4,1272,0,72,192,0,0,592,680,1272,680,592,680,592,1,0,4,0,0
1,14,5,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,6,0,0
1,20,5,336,0,0,0,88,0,48,288,336,288,48,288,48,1,0,6,0,0
1,13,3,248,112,0,0,32,0,8,240,248,240,8,48,8,0,0,3,0,0
1,14.2,5,64,0,8,0,0,0,16,48,64,48,16,48,16,0,0,5,0,0
1,15,2,24,0,0,0,0,0,8,16,24,16,8,16,8,0,0,2,0,0
-1,7.25,4,16,0,8,8,0,0,0,16,16,16,0,16,0,0,0,4,1,0
1,17.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,14.6,5,400,0,0,240,0,0,184,216,400,216,184,216,184,0,0,5,0,1
1,17.6,5,744,40,0,152,0,0,280,384,728,384,280,384,336,0,0,6,0,0
1,18,4,80,0,0,0,0,0,16,64,80,64,16,64,16,0,0,4,1,0
0,11,5,392,0,0,184,120,0,144,248,392,248,144,248,144,0,0,6,0,0
