classe_num,avgNote_w29,ndevoir_w29,log_w29,logMonday_w29,logSunday_w29,logWed_w29,logThursday_w29,DiffDaysWeek,log_forum,log_core,logviewed_w29,logviewedCore_w29,logviewedResource_w29,logViewedTargetCourse_w29,logViewedTargetCourseModule_w29,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,2,1064,0,72,192,0,1,0,544,1064,544,520,544,520,0,1,4,0,0
1,14,5,40,0,0,0,40,0,0,32,40,32,8,32,8,1,0,6,0,0
1,20,4,336,0,0,0,88,1,0,288,336,288,48,288,48,1,1,6,0,0
1,13,3,248,112,0,0,32,0,0,240,248,240,8,48,8,0,0,3,0,0
1,14.75,4,64,0,8,0,0,0,0,48,64,48,16,48,16,1,0,5,0,0
1,14,1,24,0,0,0,0,0,0,16,24,16,8,16,8,0,0,2,0,0
-1,9.33333,3,16,0,8,8,0,0,0,16,16,16,0,16,0,0,0,4,1,0
1,17.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
1,14.6,5,400,0,0,240,0,0,0,216,400,216,184,216,184,1,0,5,0,1
1,17.5,4,664,40,0,152,0,0,0,352,648,352,232,352,288,0,0,6,0,0
1,19,2,80,0,0,0,0,0,0,64,80,64,16,64,16,0,0,4,1,0
0,12.75,4,392,0,0,184,120,0,0,248,392,248,144,248,144,0,0,6,0,0
1,16.4,5,160,32,48,40,0,0,0,120,160,120,40,120,40,0,0,6,0,0
1,16.4,5,200,120,0,32,0,1,0,152,200,152,48,152,48,1,1,6,0,0
1,15.6667,3,40,0,40,0,0,0,0,32,40,32,8,32,8,0,0,6,0,0
1,14.75,4,1000,648,0,0,16,1,0,584,1000,584,416,584,416,0,1,6,0,0
1,16.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,15.6667,3,104,0,0,0,40,0,0,72,104,72,32,72,32,0,0,3,0,0
1,14,3,248,8,24,112,32,0,0,176,248,176,72,176,72,0,0,4,0,0
1,17.25,4,40,0,0,0,40,0,0,32,40,32,8,32,8,0,0,4,0,0
1,15.2,5,819,369,0,0,216,0,0,504,819,504,315,504,315,0,0,6,1,0
-1,3.5,4,64,64,0,0,0,0,0,48,64,48,16,48,16,0,0,4,0,0
