s,avgNote_w3,ndevoir_w3,log_w3,logsMonday_w3,logSunday_w3,logWed_w3,logThursday_w3,DiffDaysWeek,log_resource,log_core,logviewed_w3,logviewedCore_w3,logviewedResource_w3,logViewedTargetCourse_w3,logViewedTargetCourseModule_w3,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
-1,0,0,8,0,0,8,0,0,0,8,8,8,0,8,0,0,0,4,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,240,0,0,240,0,0,144,96,240,96,144,96,144,0,0,5,0,1
1,0,0,88,16,0,0,0,0,24,64,88,64,24,64,24,0,0,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0
0,11,1,104,0,0,104,0,1,32,72,104,72,32,72,32,1,1,6,0,0
1,18,1,160,32,48,40,0,1,40,120,160,120,40,120,40,1,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,232,176,0,0,0,1,80,152,232,152,80,152,80,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
1,0,0,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,4,0,0
1,0,0,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
-1,0,0,32,32,0,0,0,1,8,24,32,24,8,24,8,0,1,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,144,8,40,16,24,0,16,128,144,128,16,128,16,0,0,2,0,0
1,0,0,48,0,0,40,0,1,0,48,48,48,0,48,0,0,1,4,0,0
1,0,0,32,32,0,0,0,0,16,16,32,16,16,16,16,0,0,4,0,0
1,0,0,24,24,0,0,0,0,8,16,24,16,8,16,8,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,40,0,0,0,0,1,8,32,40,32,8,32,8,0,1,6,0,0
1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,136,0,0,0,0,0,48,88,136,88,48,88,48,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15,1,264,0,0,80,128,0,88,176,264,176,88,176,88,0,0,3,1,0
1,12,1,232,40,40,0,48,1,88,144,232,144,88,144,88,1,1,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18,1,72,0,0,40,0,0,16,56,72,56,16,56,16,1,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
-1,0,0,40,0,0,0,40,0,8,32,40,32,8,32,8,0,0,3,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
-1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,104,0,0,0,32,1,32,72,104,72,32,72,32,0,1,6,0,0
-1,0,0,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14,1,100,40,0,0,10,0,30,70,100,70,30,70,30,1,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17,1,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,6,0,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16,1,184,0,0,32,80,0,64,120,184,120,64,120,64,1,0,4,0,0
1,19,1,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,6,1,0
-1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
-1,0,0,697,136,0,0,425,1,289,408,697,408,289,408,289,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,18,1,24,0,0,0,0,0,0,24,24,24,0,16,0,1,0,5,0,0
1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,0,0,96,32,0,0,32,1,24,72,96,72,24,72,24,0,1,6,0,0
1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
1,0,0,312,0,0,0,0,0,184,128,312,128,184,128,184,0,0,6,0,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,0,0,96,0,0,0,32,1,24,72,96,72,24,72,24,0,1,3,0,0
1,0,0,216,176,0,0,0,0,104,112,216,112,104,112,104,0,0,6,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,0,0,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
0,0,0,8,0,0,0,0,0,0,8,8,8,0,8,0,0,0,3,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
